iso3	country	join_status	lang_code	language_english	language_autonym	script	competing_languages	join_note	01_pain_term	01_pain_english	01_pain_mark	02_hurt_term	02_hurt_english	02_hurt_mark	03_eco_anxiety_term	03_eco_anxiety_english	03_eco_anxiety_mark	04_uncertainty_term	04_uncertainty_english	04_uncertainty_mark	05_grief_term	05_grief_english	05_grief_mark	06_anger_term	06_anger_english	06_anger_mark	07_hardship_term	07_hardship_english	07_hardship_mark	08_displacement_term	08_displacement_english	08_displacement_mark	09_trauma_term	09_trauma_english	09_trauma_mark	10_loneliness_term	10_loneliness_english	10_loneliness_mark	11_depression_term	11_depression_english	11_depression_mark	12_fear_term	12_fear_english	12_fear_mark	13_helplessness_term	13_helplessness_english	13_helplessness_mark	14_shame_term	14_shame_english	14_shame_mark	15_no_pain_term	15_no_pain_english	15_no_pain_mark	labels	gaps	exact_F	broader_or_narrower_E
KWT	Kuwait	REVIEW	ar	Arabic	العربية	Arab	English (en)	Non-citizens are roughly 68% of the population. Weaker than the UAE and Qatar cases. Variety: Gulf Arabic vs MSA.	وجع	Pain / ache	F	ضيق	Distress / inner tightness	E	القلق المناخي	climate anxiety, definite form	F	عدم اليقين	uncertainty; lack of certainty	F	حزن	Grief / sorrow	E	غضب	Anger	E	عوز	Want / destitution	E	نزوح	Displacement	E	صدمة	Shock / trauma	E	وحشة	Loneliness / forlornness	E	اكتئاب	Depression	F	خوف وقلق	Fear and anxiety	E	عجز	Inability / powerlessness	E	شعور بالذنب	Feeling of guilt	E	بلا ألم	without pain	F	15	0	5	10
KGZ	Kyrgyzstan	REVIEW	ky	Kyrgyz	кыргызча	Cyrl	Russian (ru)	Russian is co-official and dominant in urban use.	оору	ache; pain; illness	E	кайгы	gloom; grief; sorrow	E	Экологиялык тынчсыздануу	ecological anxiety	F	белгисиздик	uncertainty; unknownness	E	кайгы	gloom; grief	E	ачуу	anger	E	жокчулук	hardship; poverty; lack of means	E	сүргүн	exile	E	травма	trauma; injury	E	жалгыздык	solitude; being alone	E	депрессия	depression	E	коркуу	fear; fright	E	алсыздык	weakness; feebleness	E	уят	shame; conscience	E	оору жок	there is no pain	F	15	0	2	13
LAO	Laos	SETTLED	lo	Lao	ລາວ	Laoo			ຄວາມເຈັບປວດ	pain; suffering	E	ຄວາມເສົ້າ	sadness	E		: 	X	ຄວາມບໍ່ແນ່ນອນ	uncertainty; lack of certainty	E	ຄວາມໂສກເສົ້າ	grief; sorrow; sadness	E	ຄວາມໂກດ	anger	E	ຄວາມລຳບາກ	hardship; difficulty	E	ການເນລະເທດ	deportation; expulsion; exile	F	ບາດແຜທາງໃຈ	emotional wound; trauma	F	ຄວາມໂດດດ່ຽວ	isolation; loneliness	E	ຊຶມເສົ້າ	depressed; depression	E	ຄວາມຢ້ານ	fear	E	ຄວາມອ່ອນແອ	weakness	E	ຄວາມອັບອາຍ	shame; embarrassment	E	ບໍ່ເຈັບ	does not hurt	F	14	1	3	11
LVA	Latvia	REVIEW	lv	Latvian	latviešu	Latn	Russian (ru)	Large Russian-speaking minority; Latvian is the sole official language.	fiziskas sāpes	physical pain	C	skumjas	sadness, sorrow	E	ekotrauksme	eco-anxiety; environmental anxiety	E	nenoteiktība	uncertainty, indeterminacy	F	sēras	mourning, grief	E	dusmas	anger, rage	E	trūkums	lack / shortage	E	trimda	exile	E	psiholoģiska trauma	psychological trauma	C	vientulība	loneliness / solitude	E	depresija	depression	F	bailes	fear, fright	E	bezpalīdzība	helplessness	F	kauns	shame, disgrace	E	bez sāpēm	without pain	F	15	0	4	9
LBN	Lebanon	SETTLED	ar	Arabic	العربية	Arab	French (fr); English (en)	Variety: Levantine Arabic (apc). French and English widely used.	وجع	Pain / ache	F	ضيق	Distress / inner tightness	E	القلق المناخي	climate anxiety, definite form	F	عدم اليقين	uncertainty; lack of certainty	F	حزن	Grief / sorrow	E	غضب	Anger	E	عوز	Want / destitution	E	نزوح	Displacement	E	صدمة	Shock / trauma	E	وحشة	Loneliness / forlornness	E	اكتئاب	Depression	F	خوف وقلق	Fear and anxiety	E	عجز	Inability / powerlessness	E	شعور بالذنب	Feeling of guilt	E	بلا ألم	without pain	F	15	0	5	10
LSO	Lesotho	SETTLED	st	Sesotho	Sesotho	Latn	English (en)		bohloko	pain; hurt; soreness; sorrow	E	bohloko	Hurt	E		NO TERM FOUND	X	qeaqeo	uncertainty	F	maswabi	grief	F	khalefo	anger; rage	E	bofutsana	poverty; indigence	E	teleko	expulsion; expatriation	F	nyaroso	shock; fright	F	bodutu	loneliness; boredom-like lack of company or pleasure	E	tetebelo	depression; heaviness	F	tšabo	fear; fright	E	tshito	inability; incapacity	F	molato	debt; fault	E	se nang bohloko	having no pain	F	14	1	7	7
LBR	Liberia	SETTLED	en	English		Latn	Liberian Kreyol (lir)		Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
LBY	Libya	SETTLED	ar	Arabic	العربية	Arab		Variety: Libyan Arabic (ayl) vs MSA.	وجع	Pain / ache	F	ضيق	Distress / inner tightness	E	القلق المناخي	climate anxiety, definite form	F	عدم اليقين	uncertainty; lack of certainty	F	حزن	Grief / sorrow	E	غضب	Anger	E	عوز	Want / destitution	E	نزوح	Displacement	E	صدمة	Shock / trauma	E	وحشة	Loneliness / forlornness	E	اكتئاب	Depression	F	خوف وقلق	Fear and anxiety	E	عجز	Inability / powerlessness	E	شعور بالذنب	Feeling of guilt	E	بلا ألم	without pain	F	15	0	5	10
LIE	Liechtenstein	SETTLED	de	German	Deutsch	Latn			körperlicher Schmerz	physical pain	F	seelischer Schmerz	emotional/psychological pain	F	Klimaangst	climate fear/anxiety	E	Ungewissheit	uncertainty	E	Trauer	grief; mourning; sorrow	E	Empörung	indignation; outrage	E	Existenzsorge	worry about one’s livelihood/existence	E	Entwurzelung	uprooting; rootlessness	E	Überforderung	being overwhelmed; excessive demand	E	Einsamkeit	loneliness; solitude	E	Depression	depression	E	Angst	fear/anxiety	E	Hilflosigkeit	helplessness	F	Scham	shame	E	ohne Leid	without suffering/distress	F	15	0	4	11
LTU	Lithuania	SETTLED	lt	Lithuanian	lietuvių	Latn			kūno skausmas	bodily pain	F	neaiškus emocinis skausmas	unclear emotional pain	C	baimė, nerimas ir panika dėl klimato kaitos	fear, anxiety and panic about climate change	C	neapibrėžtumas	uncertainty	E	sielvartas dėl netekties	grief over loss	F	pyktis dėl skriaudos ar išdavystės	anger at a wrong or betrayal	C	materialiniai nuostoliai	material losses	E	priverstinis persikėlimas ir tremtis	forced displacement and exile	C	trauma ir emocinis sukrėtimas	trauma and emotional shock	C	vienišumas	loneliness	E	depresija	depression; decline/downturn	E	baimė	fear	E	bejėgiškumas	helplessness	F	gėda	shame	E	be skausmo ar kančios	without pain or suffering	C	15	0	3	6
LUX	Luxembourg	OPEN	lb	Luxembourgish	Lëtzebuergesch	Latn	French (fr); German (de)	Three administrative languages; French dominates written public life.	Péng	physical pain	F	Trauregkeet	sadness	E	Klimaangscht	climate fear / climate anxiety	E	Onsécherheet	uncertainty / instability	F	Trauer	grief / mourning	F	Roserei	anger / fury	E	finanziell Onsécherheet	financial insecurity	E	Exil	exile	E	Iwwerfuerderung	overwhelm / overload	F	Einsamkeet	loneliness	F	Depressioun	depression	F	Angscht	fear	E	Hëlleflosegkeet	helplessness; inability to act or cope without aid	P	Scholdgefill	guilt / feeling of guilt	E	alles an der Rei	everything is all right / fine	F	15	0	7	7
MDG	Madagascar	SETTLED	mg	Malagasy		Latn	French (fr)	Malagasy is near-universal L1.	fanaintainana	pain; ache; suffering	E	alahelo	sadness; sorrow; grief	E		NO TERM FOUND	X	fisalasalana	doubt; hesitation; uncertainty	E	fisaonana	mourning; bereavement	E	hatezerana	anger; displeasure; irritation	E	fahoriana	trouble; calamity; distress; suffering; misfortune	E	sesitany	exile; banishment	F	ratran-tsaina	psychological trauma; mental wound	F	fanirery	loneliness; solitude; aloneness	E	fahaketrahana	depression; dejection; low spirits	E	tahotra	fear; fright; alarm; apprehension; dread; terror	E	tsy afa-manoatra	helpless; unable to act	F	nenina	regret; bitter reflection; grief; repentance; remorse	E	tsy marary	does not hurt	F	14	1	4	10
MWI	Malawi	REVIEW	ny	Chichewa		Latn	English (en)	Chichewa is the national language and lingua franca.	ululu	pain; ache; suffering	E	chisoni	sadness; sorrow; pity	E		NO TERM FOUND	X	kusatsimikiza	uncertainty; not being certain	E	chisoni	sadness; sorrow; grief; unhappiness; pity	E	mkwiyo	anger; wrath	E	umphawi	poverty; destitution	E	kusamuka	moving; migration; moving away	E	kuwawidwa m’amaganizo	mental or emotional suffering	F	kusungulumwa	loneliness; being lonely	F	matenda a nkhawa	anxiety illness	F	mantha	fear; fright; terror; dread; apprehension	E	kusimidwa	having no choice	F	manyazi	shame; embarrassment; modesty	E	popanda ululu	without pain	C	14	1	4	9
MYS	Malaysia	SETTLED	ms	Malay	bahasa Malaysia	Latn			sakit badan	bodily pain/ache	F	penderitaan emosi	emotional suffering	F	kebimbangan iklim	climate worry/anxiety	E	ketidakpastian	uncertainty	E	perkabungan	mourning; bereavement	E	kemarahan kerana ketidakadilan	anger because of injustice	E	kebimbangan kewangan	financial worry/anxiety	E	perpindahan paksa	forced migration/relocation	E	beban emosi	emotional burden	E	kesunyian	loneliness; solitude/quietness	E	kemurungan	depression; gloom	E	ketakutan	fear	E	rasa tidak berdaya	feeling powerless	E	malu	shame/embarrassment	E	tanpa penderitaan	without suffering	F	15	0	3	12
MDV	Maldives	SETTLED	dv	Dhivehi		Thaa			ތަދު	pain; ache	E	ވޭން	Hurt	E		NO TERM FOUND	X	ދެބަޖެހުން	doubt, uncertainty	F	ހިތާމަ	sorrow; affliction; trouble	E	ރުޅި	anger; wrath; temper	E	ތަދުމަޑުޙާލު	food hardship	F	އަރުވާލުން	banishment, exile	F	ސަދުމާ	trauma	F	އެކަނިވެރިކަން	loneliness	F	ނާއުއްމީދު	despair, hopelessness	F	ބިރު	fear	E	ބާރުނެތްކަން	powerlessness	F	ލަދު	shame; modesty; bashfulness	E	ތަދެއް ނުހުންނާނެ	there will be no pain / there is no pain	F	14	1	8	6
MLI	Mali	REVIEW	bm	Bambara	bamanakan	Latn	French (fr)	The 2023 constitution makes the national languages official and demotes French to a working language. Bambara is spoken by about 80% as L1 or L2.	fari dimi	bodily pain, body ache	F	nisɔngoya	Hurt	E		Eco-anxiety	X	siga	Uncertainty	E	sànga	Grief	E	dimi	anger	F	sɛ̀gɛn	Hardship	E	gɛnni	expulsion; forced removal	F	háwuja	deeply shaken; overwhelmed	F	kèlennamɔgɔ	friendless; lonely	F	dusukasi	crying-heart distress; local depression/anxiety syndrome	E	siran	fear, being afraid, fright	E	dɛsɛ	failure; incapacity; lack	E	malo	shame; be ashamed	E	dimi tɛ	there is no pain	F	14	1	6	8
MLT	Malta	OPEN	mt	Maltese	Malti	Latn	English (en)	Both official; English dominates written and professional life.	uġigħ	pain; ache	F	dwejjaq	sadness; distress	E	ansjetà klimatika	climate anxiety	E	inċertezza	uncertainty	F	niket	sorrow; sadness; grief	E	korla	rage; wrath	E	tbatija	Hardship	E	eżilju	Displacement	E	trawma	trauma; physical or psychological injury	E	solitudni	solitude; loneliness	E	depressjoni	depression	F	biża’	fear; fright; scare; apprehension	E	bla setgħa	powerless; without power	F	mistħija	shyness; bashfulness; shame; embarrassment	E	mingħajr uġigħ	without pain	F	15	0	5	10
MHL	Marshall Islands	SETTLED	mh	Marshallese		Latn	English (en)		metak	pain; ache	F	liaajlọḷ	emotional distress	F		NO TERM FOUND	X	bōbōroro	indecision	F	būroṃōj	sad; sorrowful; grieving; mourning; melancholy	E	illu	anger; angry; ill-tempered	E	jorrāān	serious problem; trouble; painful difficult situation	E	kalia	banishment, dispossession	F	lañṃwijidjid	overwhelmed	F	make	alone	E	bōbweer	despair, lose hope	F	mijak	fear; fright; dread; horror	E	tabu	helpless position	F	jook	ashamed; bashful; shy; embarrassment	E	ejjeḷok metak	no pain	E	14	1	7	7
MRT	Mauritania	REVIEW	ar	Arabic	العربية	Arab	Pulaar (fuc); Soninke (snk); Wolof (wo)	Variety: Hassaniya Arabic (mey). The constitution names four national languages: Arabic, Poular, Soninke and Wolof.	وجع	Pain / ache	F	ضيق	Distress / inner tightness	E	القلق المناخي	climate anxiety, definite form	F	عدم اليقين	uncertainty; lack of certainty	F	حزن	Grief / sorrow	E	غضب	Anger	E	عوز	Want / destitution	E	نزوح	Displacement	E	صدمة	Shock / trauma	E	وحشة	Loneliness / forlornness	E	اكتئاب	Depression	F	خوف وقلق	Fear and anxiety	E	عجز	Inability / powerlessness	E	شعور بالذنب	Feeling of guilt	E	بلا ألم	without pain	F	15	0	5	10
MUS	Mauritius	OPEN	mfe	Mauritian Creole	kreol morisien	Latn	French (fr); English (en)	Creole is near-universal L1; English is official; French dominates media.	bubu	hurt; sore; pain; also weakness or failing	E	duk	distress	E		NO TERM FOUND	X	flotman	uncertainty	F	dey	mourning; grief	F	lakoler	anger; fury	E	anbara	financial problem; embarrassment	E	deplasman	trip; travel; travelling expense	E	sok	shock	E	alyenasyon	alienation; estrangement	E	dezespwar	despair	F	lafreyer	fear	F	inpotans	impotence; powerlessness	E	laont	shame; disgrace	E	pena lapenn	there is no pain/suffering	F	14	1	5	9
MEX	Mexico	SETTLED	es	Spanish	español	Latn		Variety: Mexican Spanish.	dolor físico	Physical pain	F	dolor emocional	Emotional pain	F	ecoansiedad	eco-anxiety; chronic fear of environmental catastrophe	F	incertidumbre	Uncertainty	F	duelo	Grief, mourning	E	indignación	Indignation, outrage	E	precariedad	Precarity	E	desarraigo	Rootlessness, uprooting	F	trauma	Trauma	E	soledad	Loneliness, solitude	E	depresión	Depression	F	ansiedad	Anxiety	E	impotencia	Powerlessness	F	culpa	Guilt, blame	E	sin dolor	without pain	F	15	0	8	7
FSM	Micronesia	OPEN	en	English		Latn	Chuukese (chk); Pohnpeian (pon)	English is the sole official and common language. No vernacular reaches a majority; the largest, Chuukese, is about 49%.	Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
MDA	Moldova	OPEN	ro	Romanian	română	Latn	Russian (ru)	Romanian is official; Russian remains widely used.	durere fizică	physical pain	F	suferință emoțională	emotional suffering	F	anxietate climatică	climate anxiety	E	incertitudine	uncertainty	E	doliu	mourning; bereavement	E	indignare	indignation	E	griji financiare	financial worries	E	exil	exile	E	copleșire	overpowering; overwhelming	E	singurătate	loneliness; solitude	E	depresie	depression	E	frică	fear	E	neputință	helplessness/powerlessness	E	rușine	shame	E	fără suferință	without suffering	F	15	0	3	12
MCO	Monaco	SETTLED	fr	French	français	Latn			douleur physique	physical pain	F	douleur émotionnelle	emotional pain	F	éco-anxiété	eco-anxiety	E	incertitude	uncertainty	F	deuil	bereavement / mourning / grief	E	indignation	indignation / moral outrage	E	précarité	precarity / insecurity	E	déracinement	uprooting	F	traumatisme	trauma	E	solitude	loneliness	E	dépression	depression	F	angoisse	anguish / fear / anxiety	E	sentiment d'impuissance	feeling of helplessness	F	honte	shame	E	absence de détresse	absence of distress	E	15	0	6	9
MNG	Mongolia	SETTLED	mn	Mongolian	монгол	Cyrl			өвдөлт	pain; ache	F	шаналал	suffering; anguish	E	уур амьсгалын түгшүүр	climate anxiety	F	тодорхойгүй байдал	uncertainty; indefiniteness	F	уй гашуу	grief; sorrow	E	уур	anger	E	гачигдал	want; deprivation; shortage	F	дүрвэлт	flight; refuge; displacement	E	цочрол	shock	E	ганцаардал	loneliness	F	сэтгэл гутрал	depression	F	айдас	fear	E	хүчгүйдэл	powerlessness; weakness	E	ичгүүр	shame; disgrace	E	Өвдөлт байхгүй	no pain	F	15	0	7	8
MNE	Montenegro	OPEN	cnr	Montenegrin		Latn	Serbian (sr)	Montenegrin is official; a plurality self-report Serbian. CLDR trap: bare `cnr` does not resolve to Latin script, so downstream tags must be written `cnr-Latn` explicitly.	bol	pain, aching	E	patnja	suffering, agony	E	klimatska anksioznost	climate anxiety	E	neizvjesnost	uncertainty	E	žalovanje	mourning, bereavement	E	ljutnja	anger	E	oskudica	dearth, scarcity; poverty, indigence	E	progonstvo	exile	E	trauma	trauma; injury, harm	E	usamljenost	loneliness	E	depresija	depression	F	strah	fear, dread	E	bespomoćnost	helplessness	F	stid	shame	E	bez bola	without pain	F	15	0	3	12
MAR	Morocco	REVIEW	ar	Arabic	العربية	Arab	Tamazight (zgh); French (fr)	Variety: Moroccan Darija (ary). Tamazight co-official since 2011.	وجع	Pain / ache	F	ضيق	Distress / inner tightness	E	القلق المناخي	climate anxiety, definite form	F	عدم اليقين	uncertainty; lack of certainty	F	حزن	Grief / sorrow	E	غضب	Anger	E	عوز	Want / destitution	E	نزوح	Displacement	E	صدمة	Shock / trauma	E	وحشة	Loneliness / forlornness	E	اكتئاب	Depression	F	خوف وقلق	Fear and anxiety	E	عجز	Inability / powerlessness	E	شعور بالذنب	Feeling of guilt	E	بلا ألم	without pain	F	15	0	5	10
MOZ	Mozambique	REVIEW	pt	Portuguese	português	Latn	Makhuwa (vmw); Changana (tso)	Portuguese reach and ownership diverge sharply (INE, IV RGPH 2017): 58.1% of those aged 5+ can speak it, but only 16.5% learned it first and 16.9% speak it most at home, against Makhuwa at 25.9%. Portuguese wins on reach; Makhuwa wins as a first language.	dor física	physical pain	F	sofrimento emocional	emotional suffering	F	ansiedade climática	climate anxiety	E	incerteza	uncertainty	E	luto	mourning; bereavement	E	indignação	indignation	E	insegurança material	material insecurity	E	exílio	exile	E	sobrecarga emocional	emotional overload	E	solidão	loneliness; solitude	E	depressão	depression	E	medo	fear	E	impotência	powerlessness	E	vergonha	shame	E	sem sofrimento	without suffering	F	15	0	3	12
MMR	Myanmar	SETTLED	my	Burmese	မြန်မာ	Mymr			ကိုယ်ခန္ဓာနာကျင်မှု	physical pain	F	ဝမ်းနည်းမှု	sadness; sorrow	E	ရာသီဥတုစိုးရိမ်မှု	climate worry	F	မသေချာမှု	uncertainty	C	ပူဆွေးမှု	grief; mourning	C	ဒေါသ	anger; rage	E	အခက်အခဲ	difficulty; hardship	E	နေရပ်စွန့်ခွာမှု	displacement; leaving one's home	F	စိတ်ဒဏ်ရာ	psychological trauma	F	အထီးကျန်မှု	loneliness; isolation	C	စိတ်ကျရောဂါ	depression	F	ကြောက်ရွံ့မှု	fear	E	အားမဲ့မှု	powerlessness; weakness	E	အရှက်	shame; embarrassment	E	နာကျင်မှုမရှိ	no pain	F	15	0	6	6
NAM	Namibia	REVIEW	en	English		Latn	Oshiwambo (kua); Afrikaans (af)	English is the sole official language but a small L1; Oshiwambo is the largest L1.	Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
NRU	Nauru	SETTLED	na	Nauruan		Latn	English (en)		maga	pain	E	karaququò	misery	F		Eco-anxiety	X		Uncertainty	X	imwijiña	grief	F	damadam	anger; angry	F		Hardship	X		Displacement	X		Trauma	X		Loneliness	X		Depression	X	mio	fear; be afraid	F		Helplessness	X	maiũr	ashamed	F		No pain	X	6	9	5	1
NPL	Nepal	REVIEW	ne	Nepali	नेपाली	Deva	Maithili (mai); Bhojpuri (bho)	Nepali is L1 for only 44.86% (2021 census), a plurality not a majority, but is the sole official language and a real national lingua franca.	दुखाइ	pain; hurting	E	दुःख	sorrow; suffering; pain; misery	E	इको-एन्जाइटी	eco-anxiety	F	अनिश्चितता	uncertainty	E	शोक	grief; mourning	E	आक्रोश	outrage; anger; indignation	E	विपन्नता	poverty; destitution	E	विस्थापन	displacement; dislocation	E	आघात	blow; injury; shock; trauma	E	एक्लोपन	aloneness; loneliness	E	अवसाद	depression; dejection; gloom	E	डर	fear	E	लाचारी	helplessness; lack of options	E	लाज	shame; embarrassment; modesty	E	दुखाइ छैन	no pain	F	15	0	2	13
NLD	Netherlands	SETTLED	nl	Dutch	Nederlands	Latn			lichamelijke pijn	physical pain	F	emotionele pijn	emotional pain	F	klimaatangst	climate fear/anxiety	E	onzekerheid	uncertainty; insecurity	E	rouw	mourning; grief	E	verontwaardiging	indignation; outrage	E	financiële onzekerheid	financial insecurity	E	ballingschap	exile	E	overbelasting	overload	E	eenzaamheid	loneliness; solitude	E	depressie	depression	E	angst	fear/anxiety	E	machteloosheid	powerlessness	F	schaamte	shame	E	zonder lijden	without suffering	F	15	0	4	11
NZL	New Zealand	SETTLED	en	English		Latn	Māori (mi)	Māori is co-official.	Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
NIC	Nicaragua	SETTLED	es	Spanish	español	Latn			dolor físico	Physical pain	F	dolor emocional	Emotional pain	F	ecoansiedad	eco-anxiety; chronic fear of environmental catastrophe	F	incertidumbre	Uncertainty	F	duelo	Grief, mourning	E	indignación	Indignation, outrage	E	precariedad	Precarity	E	desarraigo	Rootlessness, uprooting	F	trauma	Trauma	E	soledad	Loneliness, solitude	E	depresión	Depression	F	ansiedad	Anxiety	E	impotencia	Powerlessness	F	culpa	Guilt, blame	E	sin dolor	without pain	F	15	0	8	7
NER	Niger	REVIEW	ha	Hausa		Latn	French (fr); Zarma (dje)	The March 2025 Charte de la Refondation names Hausa as the sole national language and demotes French and English to working languages.	ciwo	injury; pain; ache; also disheartening/trouble	E	baƙin ciki	grief; sadness; pity; sorrow; unhappiness	E		: 	X	rashin tabbas	lack of certainty; uncertainty	E	baƙin ciki	grief; sadness; pity; sorrow; unhappiness	E	fushi	anger; rage; temper	E	wahala	hardship; suffering; difficulty	E	gudun hijira	refugee flight / refuge-seeking	F	tashin hankali	distress / trauma	F	kaɗaici	loneliness; solitude; aloneness	E	baƙin ciki	grief / sadness / sorrow	E	tsoro	fear; fright	E	maras iko	helpless / powerless	F	kunya	shame; embarrassment; shyness; modesty	E	babu ciwo	there is no pain	F	14	1	4	10
NGA	Nigeria	OPEN	en	English		Latn	Hausa (ha); Yoruba (yo); Igbo (ig); Nigerian Pidgin (pcm)	English is official; three large regional languages plus a very widespread pidgin.	Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
PRK	North Korea	SETTLED	ko	Korean	한국어	Kore		Hanja was abolished from public writing in 1949 so terms will be Hangul only, but the script tag stays Kore (the Hangul+Han superset) for rendering safety and consistency with KOR. Variety: North Korean standard, distinct from South.	신체적 고통	physical/bodily pain	F	마음의 고통	pain of the heart/mind; emotional pain	F	기후 불안	climate anxiety/unease	E	불안	anxiety; uneasiness	E	애도	mourning; condolence	E	분노	anger; rage	E	생계 불안	livelihood insecurity/anxiety	E	강제 이주	forced migration/relocation	E	감당하기 어려움	difficulty coping/handling it	E	외로움	loneliness	E	우울증	depression; depressive disorder	E	두려움	fear	E	무력감	feeling of powerlessness/helplessness	F	수치심	shame	E	고통이 없음	absence of pain/suffering	F	15	0	4	11
MKD	North Macedonia	REVIEW	mk	Macedonian	македонски	Cyrl	Albanian (sq)	Albanian is co-official, ~25% of the population.	физичка болка	physical pain	F	тага	sadness; sorrow	E	климатска анксиозност	climate anxiety	F	неизвесност	uncertainty	F	жалост	grief; sorrow	E	гнев	anger; wrath	E	немаштија	poverty; destitution	E	раселување	displacement; resettlement	F	траума	trauma	E	осаменост	loneliness	F	депресија	depression	F	страв	fear	E	беспомошност	helplessness	F	срам	shame	E	без болка	no pain	F	15	0	8	7
NOR	Norway	SETTLED	nb	Norwegian Bokmål	norsk bokmål	Latn	Nynorsk (nn)		fysisk smerte	pain	F	smerte	pain, ache; mental or bodily pain	E	klimaangst	climate anxiety	F	usikkerhet	uncertainty; insecurity; lack of confidence/security	E	sorg	grief; sorrow; sadness; care/worry in some uses	E	harme	indignation; resentment; offended anger	E	avsavn	deprivation; privation; hardship from doing without	E	fordrivelse	expulsion; forced removal; displacement	E	traume	trauma; physical or psychological injury/shock	E	ensomhet	loneliness, solitude/isolatedness	E	depresjon	depression; depressive mental state; also economic depression	E	frykt	fear; dread; apprehension	E	avmakt	powerlessness; helplessness; inability/action paralysis	E	skam	shame; embarrassment; unpleasant feeling from guilt, fault or failure	E	smertefri	pain-free; painless	E	15	0	2	13
OMN	Oman	SETTLED	ar	Arabic	العربية	Arab		Variety: Gulf/Omani Arabic vs MSA.	وجع	Pain / ache	F	ضيق	Distress / inner tightness	E	القلق المناخي	climate anxiety, definite form	F	عدم اليقين	uncertainty; lack of certainty	F	حزن	Grief / sorrow	E	غضب	Anger	E	عوز	Want / destitution	E	نزوح	Displacement	E	صدمة	Shock / trauma	E	وحشة	Loneliness / forlornness	E	اكتئاب	Depression	F	خوف وقلق	Fear and anxiety	E	عجز	Inability / powerlessness	E	شعور بالذنب	Feeling of guilt	E	بلا ألم	without pain	F	15	0	5	10
PAK	Pakistan	OPEN	ur	Urdu	اردو	Arab	Punjabi (pa); English (en); Sindhi (sd); Pashto (ps); Saraiki (skr)	Urdu is the national language and lingua franca; Punjabi has the most L1 speakers; English is co-official.	درد	pain; ache; also sorrow/grief	E	اداسی	sadness; sorrow; melancholy	E	موسمیاتی بے چینی	climate anxiety	E	بے یقینی	uncertainty; unsureness	E	سوگ	mourning; grief	E	غصہ	anger	E	تنگ دستی	poverty; penury; want	E	بے گھری	homelessness	E	صدمہ	shock; trauma; also concussion/injury	E	تنہائی	loneliness; aloneness/solitude	E	ڈپریشن	depression	E	گھبراہٹ	unease/qualm; panic/anxiety	E	بے بسی	helplessness; powerlessness	F	شرمندگی	shame; embarrassment; abashment	E	کوئی تکلیف نہیں	no pain / no discomfort / no distress	F	15	0	2	13
PLW	Palau	SETTLED	pau	Palauan		Latn	English (en)		ringel	pain, ache, suffering, hardship	E	klengiterreng	sadness, sorrow, grief	E		Eco-anxiety	X	roachel	indecisive / changeable	F	klemengeung	mourning	E	klsiberreng	anger, resentment	E	chelebuul	hardship, difficulty, trouble	E	uldik	exiled / banished	F	chaserreng	shock / surprise	F	sabisi	lonely	E	chemireng	brokenheartedness / sadness / loneliness	F	dakt	fear, fright, alarm	E	telitur	inability / lack of ability	F	rur	shame, embarrassment; shyness	E	Ng diak a ringel	there is no pain	F	14	1	6	8
